Area,0 to 4,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,5 to 9,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over,Total population
Ashburton,521,580,513,470,375,382,517,626,676,617,566,518,425,291,259,198,122,244,7906
Australia,1464776,1397182,1421612,1566792,1664609,1703852,1561686,1583254,1581460,1502644,1523557,1454332,1299406,1188989,887721,652671,460555,486847,23401945
Balwyn,541,889,1146,960,782,600,649,848,1027,706,1008,914,769,684,590,429,372,493,13418
Balwyn North,805,1727,1826,1462,923,728,898,1347,1676,1227,1669,1393,1029,986,681,590,473,657,20108
Bellevue Ward,801,1416,1448,1192,770,702,854,1240,1506,1162,1391,1146,830,804,609,495,420,448,17244
Camberwell,1057,1563,1654,1732,1299,1194,1205,1441,1707,1417,1652,1432,1189,1181,895,718,615,911,22870
Canterbury,327,580,609,584,392,268,335,450,545,480,609,563,481,454,373,243,214,391,7907
City of Boroondara,7742,11016,11910,13346,12239,10306,9779,10960,12324,10048,11777,10233,8753,7922,6027,4506,3525,4829,167242
Cotham Ward,576,1126,1281,1271,934,658,733,953,1141,840,1202,1101,936,822,710,555,424,636,15906
Deepdene,58,129,132,145,98,77,75,110,120,79,137,130,132,112,102,82,66,127,1920
Gardiner Ward,844,1109,1084,1062,910,910,963,1073,1223,1149,1145,1026,894,792,557,492,313,317,15869
Glen Iris,802,1167,1124,991,743,750,915,1138,1272,1198,1236,991,862,747,522,398,242,264,15370
Glenferrie Ward,643,599,1064,1829,1889,1459,1089,874,787,683,755,594,604,502,355,277,151,147,14310
Greater Melbourne,287178,254017,269015,333367,362435,367913,325319,313768,307580,278506,279728,255824,221078,197002,147281,112832,83219,89151,4485213
Hawthorn,1022,981,1432,2822,3248,2664,1870,1393,1332,1090,1239,998,942,879,650,483,282,368,23701
Hawthorn East,740,694,742,1338,1717,1383,1100,933,843,800,767,694,658,575,443,320,233,266,14253
Junction Ward,623,580,696,1313,1584,1212,937,787,756,662,719,607,596,582,427,322,269,382,13060
Kew,1031,1532,1674,1921,1856,1537,1446,1539,1805,1381,1767,1583,1385,1213,958,641,551,735,24563
Kew East,375,485,471,426,356,331,358,501,583,455,501,411,298,311,249,184,158,152,6614
Lynden Ward,685,1172,1196,1133,796,775,788,1020,1245,971,1218,1013,826,774,584,410,369,611,15593
Maling Ward,667,1101,1044,1015,808,637,731,946,1073,904,1107,968,870,824,630,407,308,481,14528
Maranoa Ward,645,1235,1454,1154,859,627,731,1081,1278,892,1293,1114,878,820,597,488,418,611,16182
Riversdale Ward,587,630,715,1316,1685,1499,1075,802,802,662,724,653,556,542,414,300,194,265,13427
Solway Ward,881,1127,1064,951,699,691,901,1172,1266,1184,1167,963,811,647,530,376,250,384,15072
Studley Ward,710,925,883,1202,1313,1137,1011,1012,1194,899,1110,1005,879,776,617,379,350,502,15914
Surrey Hills,384,693,607,586,456,391,446,632,684,559,679,561,512,447,305,213,137,173,8474
Victoria,371220,341063,356340,413792,441266,447927,404026,401887,402043,368631,378371,357616,319840,291397,218203,165115,119895,127993,5926625
